id,category,headline,content
0,1, Bitfury Launches ‘Coinbase’ on Ethereum ,"&lt;p&gt;Bitfury, a San Francisco-based cryptocurrency marketplace that is dedicated to “staking, trading, custody, and settlement,” announced Tuesday it will launch a cryptocurrency service for its Coinbase-based platform.&lt;p&gt;&lt;p&gt;The service will be offered in roughly three currencies, from bitcoin to ether, with a minimum liquidity of $3,000, according to Coinbase spokesperson Alex Seitz-Wald. The service is geared towards institutional investors.&lt;p&gt;&lt;p&gt;Coinbase’s wallet service is built on top of bitcoin, Ethereum’s second-largest cryptocurrency, and will allow users to buy, sell and hold crypto assets in a native token (SX), Seitz-Wald added.&lt;p&gt;&lt;p&gt;“Coinbase’s wallet is “just the tool to send crypto,” Seitz-Wald said. “It’s just a way to get in and out of cryptocurrency and also to participate in the decentralized exchange (DEX) ecosystem.”&lt;p&gt; "
0,1, Custody Services Provider LEO Raises $16.6M in Series A Round ,&lt;p&gt;A new firm led by law firm Cohen & Lai has been selected as the new CEO of crypto custodian Corda.&lt;p&gt;&lt;p&gt;Read more: Bitcoin Custody Giant Corda Will Make Its First Purchase of 2021 &lt;p&gt; 
0,1," Biden Foundation, Big Pharma Will ‘Bundle’ $100M Into a ‘New Strategy for American Economy ","&lt;p&gt;The Biden Foundation and its allies have been making a name for themselves in Washington with a $100 million strategic effort into a more comprehensive overhaul of the nation’s economic system. &lt;p&gt;&lt;p&gt;That effort, known as the Biden Center, is being led by the philanthropic arm of the National Economic Council (NEC). The Biden center will be backed by the White House and the Obama administration, along with a host of experts in economic and health policy.&lt;p&gt;&lt;p&gt;While most of the Biden Center is aimed at the national economic team of leading Democratic senators, the administration is taking a more holistic approach, with a focus on making the nation more competitive and more efficient. &lt;p&gt;&lt;p&gt;The 2020 Biden Center initiative will involve a broad array of initiatives from education to transportation to public safety. The new initiative, announced Thursday, will include a new, cost-efficient public health fund to make sure Americans are well served by public health interventions, as well as new policies that would foster healthy and equitable lifestyles.&lt;p&gt;&lt;p&gt;According to a memo shared with CoinDesk, the Biden Center will also focus on the provision of $1.7 trillion in new economic growth over the next decade to help America overcome its pandemic-induced economic problems. The fund will be administered by a combination of federal and state programs.&lt;p&gt;"
0,1, U.S. retail sales surge in Jan as 'bad news' in COVID-19 vaccine leads to higher prices ,"&lt;p&gt;WASHINGTON  - Sales of U.S. consumer goods rose in January as a vaccination campaign against the virus led to higher prices, boosting the hopes of companies looking to boost revenue in the coming months.&lt;p&gt;&lt;p&gt;Sales of food and beverages, appliances and consumer electronics increased 1.1% in January from a year earlier, up from 0.4% the month before, data from the Commerce Department showed on Monday. Consumer spending rose 0.2%, the strongest monthly growth in nearly two years.&lt;p&gt;&lt;p&gt;Overall U.S. consumer spending increased 0.2% in January. Analysts polled by Reuters had forecast a 1.5% jump, versus economists’ forecast for a 0.8% jump.&lt;p&gt;&lt;p&gt;Sales of non-alcoholic beverages, such as wine and spirits, gained 0.7%, the most in seven months. But non-alcoholic beverages were the most popular category among consumers in January.&lt;p&gt;&lt;p&gt;Manufacturing, the manufacturing sector, was the biggest driver of sales, growing 1.2% on a year-on-year basis.&lt;p&gt;&lt;p&gt;The Commerce data were preliminary, and did not include consumer price data.&lt;p&gt;"
0,1, US Banks Will Face a Double Threat From a Crypto Hedge Fund: Report ,"&lt;p&gt;The Federal Reserve will face a double threat from a crypto hedge fund that is raising hundreds of millions of dollars in a bid to hedge against an uncertain future of digital currency prices, a New York Times report on Tuesday said.&lt;p&gt;&lt;p&gt;The hedge fund, Digital Currency Group, is an investor in U.S. bank and asset management firm Digital Currency Group.&lt;p&gt;&lt;p&gt;The report noted that Digital Currency Group invested in bitcoin and blockchain funds last year, and as such will be facing a new set of regulatory and regulatory challenges: The firm was forced to suspend its services after regulators pressured U.S. exchanges to issue refunds to customers who had lost funds in an ongoing fund crash.&lt;p&gt;&lt;p&gt;That would mean Digital Currency Group will face a different set of regulatory and regulatory challenges from other asset managers, including hedge funds and traditional investment banks, the report said.&lt;p&gt;&lt;p&gt;In the event that a crypto hedge fund is able to navigate those legal and regulatory hurdles, the U.S. central bank will take a “decision” about whether to extend the “institutional risk management” charter, according to the report.&lt;p&gt;&lt;p&gt;Read more: U.S. Central Bank Calls for Open Markets for Crypto&lt;p&gt;&lt;p&gt;Also read: JPMorgan’s Bitcoin Fund Is Building a ‘Digital Currencies Fund’&lt;p&gt;"
0,1, Ripple Taps Blockchain to Monitor Institutional Liquidity in US ,"&lt;p&gt;Ripple is building out an integrated digital asset monitoring and auditing system for the U.S. government, Bloomberg has learned.&lt;p&gt;&lt;p&gt;The payments and compliance company has also partnered with a global technology platform company known as CryptoLabs to bring “new features, services, tools, and strategies to the crypto markets.”&lt;p&gt;&lt;p&gt;Ripple’s first blockchain initiative, its $1.9 billion plan to create a digital asset reporting platform, is focused on institutional trading, the firm said in a press release Wednesday.&lt;p&gt;&lt;p&gt;“Our blockchain integration with CryptoLabs represents the next step in our ongoing efforts to foster a vibrant global crypto market,” said Ripple Chief Financial Officer Brendan Borda. “These blockchain technologies will enable us to offer a seamless transition to a fully automated market, including access to high-performance, high-throughput data analysis and quantitative trading,” Borda added.&lt;p&gt;&lt;p&gt;Read more: Ripple Launches Trading Service on Blockchain as Crypto Lending Stance Fails to Reach Central Banks&lt;p&gt;&lt;p&gt;While a few banking providers have begun rolling out bitcoin-based blockchain products, Ripple has yet to make a formal announcement on the technology, Borda said.&lt;p&gt; "
0,1, Biden Releases SEC Digital Currency Plans ,"&lt;p&gt;Biden unveiled a plan Thursday to expand the federal government’s digital currency rollout over the next 12 months, with the goal of “creating a new generation of investors and consumers who use the financial system more than ever.”&lt;p&gt;&lt;p&gt;The announcement is part of a suite of executive actions, including a $1.6 trillion plan to “broaden the federal government’s digital infrastructure to support critical industries, and accelerate investments in education and the arts,” the White House said in a statement. The plan includes an ambitious effort to incentivize digital investing, an effort to expand access to credit, increase government digital bank infrastructure, and extend a temporary $3.5 trillion national broadband infrastructure program.&lt;p&gt;&lt;p&gt;The White House said that the bill also includes “significant progress on digital economic development including the broadening access to credit for all Americans, improving accessibility to digital assets and an infrastructure investment plan for government digital assets.”&lt;p&gt;&lt;p&gt;The Biden administration will likely continue its efforts to expand the digital economy to address the concerns of many Americans, with the aim of creating millions of jobs and leading to a new economic recovery in the United States, the statement added.&lt;p&gt;&lt;p&gt;“The success of the Biden plan will strengthen the United States economy and boost economic growth, and support investment in education, the arts, and other vital sectors of our economy,” Commerce Secretary Sylvia Garcia-Margallo said.&lt;p&gt; "
0,1, China's Dec iron ore imports jump 1.6% y/y to 303.58 mln T - customs ,"&lt;p&gt;BEIJING, Jan 22  - China’s iron ore imports jumped 1.6% from a year earlier to 303.58 million tonnes, customs data showed on Thursday, boosted by strong demand for the metal amid a second wave of COVID-19 infections.&lt;p&gt;&lt;p&gt;Iron ore exports to China in January rose 6.5% year-on-year to 303.58 million tonnes, slightly more than the 315.18 million tonnes reported in December. (Reporting by Darya Zhang and Gao Zhang; Editing by Hugh Lawson)&lt;p&gt; "
0,1, PayPal Admits to Making ‘Fee-Peer’ Payments on Cryptocurrency ,"&lt;p&gt;PayPal is making payments on cryptocurrency in an effort to better serve the crypto ecosystem, the PayPal founder said Wednesday.&lt;p&gt;&lt;p&gt;PayPal also announced it is partnering with the European Association of Crypto Exchanges (EAC), which is trying to better integrate crypto custody for large businesses.&lt;p&gt;&lt;p&gt;The news comes after PayPal and Coinbase agreed to a settlement agreement in June to enable users to make cryptocurrency payments over the “fee-peer” networks. PayPal said it plans to “increase its business collaboration and interoperability activities with the EAC to strengthen our relationship with the cryptocurrency industry.”&lt;p&gt;&lt;p&gt;EACs will now act as a “substantial and efficient platform” for merchants, said PayPal co-founder and CTO Brad Garlinghouse.&lt;p&gt;&lt;p&gt;“We are now working closely with EACs to expand our relationship with cryptocurrency companies such as Coinbase and Stripe,” said Garlinghouse in a statement. “PayPal has also entered into a long-term strategic partnership with these companies.”&lt;p&gt;&lt;p&gt;Read more: PayPal Adds Bitcoin Payments in Q1, With 1,800 Accounts&lt;p&gt;&lt;p&gt;Cryptocurrency is a highly leveraged asset class that has historically provided an attractive returns on capital, according to a study released in August 2018 by the American Council on Financial Services.&lt;p&gt;"
0,1, Algorithmic Blockchain Hires R3 Blockchain Chief as VP ,&lt;p&gt;Blockchain software company Algorithmic Blockchain has hired R3 Blockchain Chief Content Officer Hugh Leshner as its VP of Content and Content Management.&lt;p&gt;&lt;p&gt;Read more: Algorithmic Blockchain Buys New York City-Backed Crypto App and Expands to Europe&lt;p&gt; 
